id_employee;age;nombre_experiences_precedentes;annees_dans_l_entreprise;satisfaction_employee_environnement;satisfaction_employee_nature_travail;satisfaction_employee_equipe;satisfaction_employee_equilibre_pro_perso;note_evaluation_actuelle;augementation_salaire_precedente;a_quitte_l_entreprise;nombre_participation_pee;nb_formations_suivies;nombre_employee_sous_responsabilite;distance_domicile_travail;niveau_education;annees_depuis_la_derniere_promotion;genre_M;statut_marital_Divorcé(e);statut_marital_Marié(e);departement_Consulting;departement_Ressources Humaines;poste_Consultant;poste_Directeur Technique;poste_Manager;poste_Représentant Commercial;poste_Senior Manager;poste_Tech Lead;domaine_etude_Entrepreunariat;domaine_etude_Infra & Cloud;domaine_etude_Marketing;domaine_etude_Ressources Humaines;domaine_etude_Transformation Digitale;frequence_deplacement_Frequent;ratio_surcharge_anciennete;satisfaction_globale_moyenne;delta_evaluation;tension_salaire
14;35;0;5;1;2;3;3;3;0.13;0;1;5;1;16;3;0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.25;-1;0.0007004532344458179
15;29;0;9;4;3;4;3;3;0.12;0;0;3;1;15;2;0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.1;3.5;1;0.0004291845493562232
16;31;1;5;1;3;4;2;3;0.17;0;1;1;1;26;1;4;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.5;0;0.00044642857142857136
18;34;0;2;2;4;3;3;3;0.11;0;1;2;1;19;2;1;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0;0.0007137490608564988
19;28;5;4;3;3;2;3;3;0.14;1;0;4;1;24;3;0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;2.75;1;0.0007885657959586002
20;29;1;10;2;1;3;3;3;0.11;0;1;1;1;21;4;8;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.25;-1;0.0001903616872056908
21;32;0;6;1;2;4;2;3;0.12;0;2;5;1;5;2;0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.14285714285714285;2.25;-1;0.0005456198848135798
22;22;1;1;4;4;2;2;3;0.13;0;2;2;1;16;2;0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5;3.0;-1;0.0005790190735694823
23;53;2;25;1;4;3;3;3;0.16;0;0;3;1;2;4;3;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.75;1;9.074410163339382e-05
24;38;5;3;4;4;3;3;3;0.11;0;0;3;1;2;3;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.25;3.5;0;0.0004816223067173637
26;24;0;4;1;3;4;2;3;0.18;0;1;5;1;11;2;1;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;-1;0.00029910269192422737
27;36;7;5;3;1;2;3;4;0.23;1;0;4;1;9;4;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.25;2;0.0004988262910798121
28;34;0;12;1;2;3;3;3;0.11;0;0;4;1;7;4;2;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.25;0;0.00015839933305543977
30;21;1;0;3;4;4;3;3;0.14;0;0;6;1;15;2;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.5;0;0.0012976480129764801
31;34;2;4;2;1;3;3;3;0.11;1;0;2;1;6;1;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.25;0;0.0006416751097602161
32;53;4;14;3;3;4;2;3;0.11;0;1;3;1;5;3;4;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0;9.950248756218905e-05
33;32;1;10;2;1;2;3;4;0.22;1;0;5;1;16;1;6;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.09090909090909091;2.0;3;0.00045918367346938773
35;42;0;9;3;2;4;3;3;0.11;0;1;2;1;8;4;4;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0;0.0002783474948725461
36;44;3;22;1;4;4;3;3;0.14;0;1;4;1;7;4;5;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;1;0.00015611279149185285
38;46;3;2;2;1;4;2;3;0.12;0;0;2;1;2;4;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.25;0;9.499683343888537e-05
39;33;4;1;3;4;4;3;3;0.11;0;0;3;1;2;3;0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.5;0;0.0007609130957148578
40;44;2;4;4;4;4;4;3;0.13;0;0;5;1;10;4;1;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;4.0;0;0.0002629137024435509
41;30;1;10;4;3;1;3;3;0.13;0;0;5;1;9;2;1;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.75;1;0.0007702763932940643
42;39;3;1;4;4;3;4;3;0.14;1;1;6;1;5;3;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.75;0;0.0007666506947771921
45;24;2;2;2;4;1;2;3;0.16;1;1;2;1;1;3;2;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.3333333333333333;2.25;0;0.0006102877070619006
46;43;1;5;4;3;4;2;3;0.12;0;2;3;1;2;2;1;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.25;-1;0.0006802721088435375
47;50;1;3;1;3;3;3;3;0.14;1;0;2;1;3;2;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.25;2.5;1;0.0005961251862891207
49;35;1;2;4;4;1;3;3;0.13;0;0;3;1;2;3;2;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0;0.0008436724565756824
51;36;9;1;2;1;4;4;3;0.14;0;1;3;1;5;4;0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;2.75;1;0.0004678362573099415
52;33;2;5;3;1;1;3;3;0.19;0;2;3;1;1;3;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;-1;0.00020457504184489495
53;35;1;1;3;4;3;3;3;0.12;0;1;3;1;4;2;0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.25;0;0.0009221311475409836
54;27;1;1;4;1;4;3;3;0.13;0;1;6;1;2;4;0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0;0.0007258753202391119
55;26;1;1;1;3;3;2;3;0.12;1;0;2;1;25;3;0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.25;2;0.0007846556233653008
56;27;1;9;4;3;4;3;3;0.15;0;0;0;1;8;3;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.5;0;0.00017188037126160193
57;30;1;12;3;4;4;3;4;0.23;0;0;2;1;1;2;3;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.5;1;0.00042372881355932197
58;41;1;22;2;3;4;3;3;0.12;1;0;0;1;12;3;15;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0;9.209045328967565e-05
60;34;0;9;2;3;3;3;4;0.2;0;0;2;1;23;4;8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.75;1;0.0004377325454147516
61;37;4;1;2;2;1;3;4;0.21;0;0;1;1;19;2;0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1;0.000628514720476348
62;46;4;9;1;4;3;3;4;0.21;0;0;4;1;5;4;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.1;2.75;1;0.00032911830937121077
63;35;1;1;4;4;4;3;3;0.19;0;0;2;1;8;1;0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.75;-1;0.00048458149779735687
64;48;9;1;1;3;4;3;3;0.13;1;0;2;1;1;2;0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;2.75;1;0.00031586770717205497
65;28;1;2;3;3;3;2;3;0.13;1;0;3;1;5;4;2;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;2.75;0;0.0004938988959907031
68;44;5;4;2;1;3;2;4;0.21;0;1;2;1;1;5;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.2;2.0;1;0.00034830430797433545
70;35;2;4;3;1;3;3;3;0.13;0;1;3;1;11;2;2;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;2.5;1;0.0001719777440566515
72;26;7;2;3;4;3;2;3;0.19;0;1;2;1;23;3;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.3333333333333333;3.0;1;0.00026455026455026457
73;33;1;15;1;4;3;3;3;0.12;0;0;1;1;1;2;8;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0625;2.75;0;0.0001337395051638309
74;35;1;9;2;1;4;2;4;0.22;0;1;3;1;18;5;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.25;1;0.0001984564498346196
75;35;3;2;3;1;3;3;3;0.15;0;1;3;1;23;4;2;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.3333333333333333;2.5;0;0.00037359900373599005
76;31;3;7;4;4;4;2;4;0.22;0;1;3;1;7;4;1;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.5;1;0.00030425963488843813
77;37;1;7;1;3;3;4;3;0.18;0;1;2;1;1;4;0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.75;1;0.00020020020020020024
78;32;1;9;1;4;2;3;4;0.22;0;1;3;1;1;3;7;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.1;2.5;1;0.0002920655524906701
79;38;1;10;4;4;4;3;3;0.11;0;0;2;1;29;5;9;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.75;0;0.0007893643539675945
80;50;5;27;2;3;4;2;3;0.12;0;1;2;1;7;2;13;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.03571428571428571;2.75;1;9.604610212902194e-05
81;59;7;21;1;1;4;2;3;0.11;0;0;3;1;25;3;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0;0.0002487562189054726
83;36;1;17;3;3;2;3;3;0.13;0;3;2;1;8;3;12;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.75;0;0.00016836684163612953
84;55;2;5;4;3;3;3;3;0.14;0;3;2;1;8;3;0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.16666666666666666;3.25;0;0.00010842312123060242
85;36;1;6;2;2;3;3;3;0.13;0;0;3;1;11;3;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.5;1;0.00026153846153846154
86;45;2;1;2;1;3;3;3;0.17;0;1;2;1;7;3;0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.25;0;0.00013367609254498713
88;35;4;3;2;1;4;2;3;0.13;0;1;2;1;1;3;1;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.25;0;0.0007744874715261958
90;36;0;1;4;3;1;2;3;0.17;1;1;0;1;9;3;0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5;2.5;1;0.0003835939805252286
91;59;7;4;1;3;4;2;3;0.11;0;0;2;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.5;1;0.00034709535988308363
94;29;0;5;3;2;4;3;4;0.23;0;1;3;1;2;3;0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;1;0.0006286982248520709
95;31;1;1;3;2;2;3;3;0.17;0;0;4;1;1;4;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.5;0;0.0005195843325339727
96;32;1;10;2;2;2;3;3;0.17;0;2;3;1;1;3;0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.25;0;0.00020896961903230988
97;36;3;1;2;4;2;3;3;0.12;0;0;3;1;6;3;0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.75;-1;0.0005923000987166832
98;31;1;11;3;4;4;3;4;0.23;0;0;2;1;8;4;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.5;1;0.0003841807909604519
100;35;0;15;3;1;2;3;3;0.14;0;0;2;1;1;4;2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.25;1;0.00037097148156735446
101;45;4;0;4;1;2;4;3;0.14;0;0;3;1;6;4;0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.75;0;0.0001207911822436962
102;37;4;5;1;3;1;4;3;0.13;0;0;3;1;7;4;0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.25;0;0.0001244054152945481
103;46;8;4;2;2;4;3;4;0.22;0;1;2;1;5;2;0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;2.75;1;0.0003584229390681003
104;30;1;10;4;4;3;2;3;0.12;0;2;1;1;1;1;3;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.09090909090909091;3.25;1;0.00035108250438853133
105;35;1;6;2;3;1;3;3;0.18;0;0;3;1;1;3;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.25;1;0.00041958041958041963
106;55;3;1;1;4;4;3;3;0.14;0;1;4;1;1;2;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0;0.00015624999999999998
107;38;7;13;2;4;4;3;3;0.12;0;3;3;1;6;3;1;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.07142857142857142;3.25;2;0.0003377110694183865
110;34;1;5;1;2;3;3;3;0.15;0;0;2;1;1;2;1;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.25;0;0.00034674063800277393
112;56;4;6;4;4;1;2;3;0.11;0;0;3;1;7;3;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.75;2;0.00026167194601294587
113;23;3;0;3;1;3;3;3;0.13;0;1;3;1;2;1;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0;0.0007318123116659492
116;51;3;4;4;4;2;3;4;0.23;0;2;4;1;9;4;0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.25;1;0.0008188824662813101
117;30;1;11;3;4;1;3;3;0.19;0;3;3;1;2;3;10;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.75;1;0.0002648687695641705
118;46;1;9;3;4;4;3;3;0.16;1;0;3;1;9;2;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.5;1;0.00014553014553014552
119;40;1;22;3;2;4;2;4;0.22;0;1;3;1;1;4;11;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.75;2;0.00013329383886255924
120;51;0;10;3;4;4;1;4;0.22;0;0;2;1;21;4;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.09090909090909091;3.0;1;0.000330760749724366
121;30;1;11;3;2;2;2;3;0.12;0;3;4;1;4;2;2;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.08333333333333333;2.25;1;0.00034548944337811904
124;46;2;10;3;1;3;2;3;0.13;0;1;5;1;1;3;9;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.09090909090909091;2.25;1;0.00015926550496533632
125;32;1;11;2;3;1;3;3;0.16;0;0;0;1;6;4;5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.25;0;0.00027938535222510476
126;54;9;4;1;3;1;1;3;0.12;0;1;5;1;2;4;0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0;0.00013284132841328414
128;24;0;3;1;3;1;2;4;0.21;0;1;2;1;3;2;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75;1;0.00037999999999999997
129;28;1;5;2;3;2;4;3;0.15;0;0;3;1;4;3;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.75;0;0.00035528185693983896
131;58;0;37;4;3;3;2;3;0.13;0;0;1;1;10;4;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0;0.00012254018597275282
132;44;4;3;2;2;3;4;3;0.12;0;1;3;1;23;3;1;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.75;0;0.000881057268722467
133;37;4;3;3;1;4;3;4;0.22;1;0;3;1;6;4;0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.25;2.75;1;0.0008678881388621021
134;32;1;1;4;1;4;3;3;0.13;0;0;2;1;1;1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0;0.0005749070003381806
137;20;1;1;4;4;2;3;3;0.18;1;0;5;1;6;3;1;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.5;3.25;1;0.0004099760847283909
138;34;1;16;1;3;3;3;3;0.14;0;0;3;1;6;4;2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0;0.00033264033264033264
139;37;5;1;3;4;4;4;3;0.14;0;1;2;1;2;2;0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.75;1;0.00030983733539891554
